feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,y
0.23939613,0.1335254,0.0,0.1258837,0.0,0.35085964,0.0,0.0,0.0,0.39295146,0.0,0.3596127,0.24719073,0.0,0.10348443,0.0,0.0,0.0,0.0,0.23668313,0.0,0.31517613,0.14239334,0.69394255,0.0,0.47298384,0.48275676,0.0,0.5866136,0.0,0.0,0.0,0.1741905,0.0,0.0,0.27080047,0.0,0.9873659,0.0,0.0,0.0,0.0022690708,0.15572537,0.3474349,0.12691204,0.0,0.0,0.32812703,0.4742205,0.8030145,0.05258977109572517
0.17481694,0.0,0.0,0.33182147,0.04255658,0.055294607,0.1783869,0.13307261,0.030833784,0.0,0.0,0.25893116,0.017774913,0.166245,0.0,0.0,0.0,0.0,0.04201034,0.18447074,0.0,0.0,0.19204684,0.12801024,0.0,0.060621753,0.18831894,0.0,0.22985196,0.15807727,0.0,0.026752729,0.0,0.0,0.0,0.006779444,0.0,0.10096061,0.0,0.0,0.0,0.06955035,0.135377,0.15288249,0.0,0.12875226,0.0,0.0,0.023388183,0.23126546,0.05986803016773545
0.35262096,0.17783406,0.0,0.20634769,0.0,0.38611487,0.008277067,0.0,0.0,0.4331858,0.0,0.64167833,0.31697032,0.0,0.0,0.0,0.0,0.0,0.0,0.21243274,0.07924914,0.102187105,0.20554236,0.54675156,0.0,0.6189992,0.31251597,0.0,0.43357867,0.0,0.0,0.0,0.09457839,0.0,0.0,0.08926098,0.0,0.81459635,0.0,0.0,0.0,0.0,0.0,0.36547616,0.19537784,0.0,0.0,0.35626882,0.57431173,0.983758,0.05044906218785139
0.389616,0.023742672,0.0,0.11451626,0.0,0.34068638,0.0,0.0,0.0,0.23819377,0.0,0.64382815,0.5400897,0.0,0.13928978,0.0,0.0,0.0,0.047336224,0.04750986,0.16804998,0.23245966,0.0,0.65077543,0.0,0.6740885,0.3321876,0.0,0.5633564,0.0,0.0,0.0,0.16911161,0.0,0.0,0.10678812,0.0,1.2024592,0.0,0.0,0.0,0.009451545,0.27856517,0.57102925,0.292291,0.0,0.0,0.5183428,0.47674417,1.0354611,0.04939424843578112
0.2885837,0.0,0.3000842,0.43491787,0.09713617,0.53557056,0.0,0.0,0.22072582,0.145732,0.56351125,0.1897681,0.15960641,0.26643234,0.20167528,0.063132465,0.19538516,0.0,0.0,0.078221016,0.2344175,0.32519484,0.36469334,0.5991602,0.0,0.36277652,0.8771915,0.0,0.24820729,0.06622401,0.29077736,0.52981824,0.0,0.15505299,0.0,0.47059345,0.0,0.39922005,0.0,0.0,0.0,0.0,0.32523596,0.01227173,0.0,0.0,0.0,0.0,0.019105418,0.17179973,0.15424698544491255
0.05456237,0.09342574,0.072226085,0.0,0.0,0.27354214,0.0,0.15408354,0.0,0.2619065,0.0,0.24039721,0.12016972,0.0,0.0,0.0,0.0,0.0,0.0,0.033086717,0.0,0.08294729,0.2563025,0.35183138,0.0,0.22006191,0.43124992,0.0,0.42282996,0.0,0.0,0.0,0.0,0.0,0.0,0.22323325,0.0,0.40476143,0.0,0.0,0.0,0.0,0.015995055,0.3004857,0.046821773,0.0,0.0,0.05204562,0.22138157,0.43362233,0.05287066836840537
0.10913915,0.0,0.0,0.08257512,0.0,0.14608335,0.11340624,0.08388889,0.0,0.22355738,0.0,0.48325545,0.4052016,0.09888188,0.0,0.0,0.0,0.0,0.23918116,0.049935184,0.0,0.0,0.090947956,0.3312412,0.0,0.49754277,0.41420674,0.1690002,0.2322155,0.0,0.27554578,0.0,0.0,0.16631025,0.0,0.0,0.0,0.453308,0.18171135,0.0,0.0,0.082400605,0.07137927,0.08718005,0.31868017,0.13295394,0.0,0.112839885,0.16877457,0.5679319,0.05278024816084981
0.0,0.0,0.0,0.2527222,0.0,0.38653138,0.0,0.0,0.06649606,0.1741948,0.0,0.0,0.070423275,0.046275955,0.119235136,0.0,0.17945601,0.0,0.07133327,0.21158226,0.09982516,0.04836193,0.36658847,0.216738,0.17078844,0.19438772,0.40272847,0.0,0.382015,0.0,0.39015964,0.09303363,0.0,0.21736476,0.0,0.025476249,0.0,0.28165784,0.0,0.0,0.0,0.0,0.07706742,0.014499998,0.0,0.0,0.0,0.0,0.042711567,0.24239197,0.06265202442315343
0.34596884,0.0,0.0,0.31160414,0.0,0.40572974,0.00520481,0.0,0.08989889,0.4869876,0.23125435,0.47308907,0.41921014,0.0,0.0,0.0,0.0,0.0,0.0,0.42168504,0.12614314,0.038113765,0.6280985,0.3589722,0.0,0.23126018,0.58244133,0.0,0.30289805,0.0,0.12016452,0.3424593,0.089299396,0.21618241,0.0,0.06204132,0.0,0.25072446,0.0,0.0,0.0,0.0,0.0,0.12051884,0.14692725,0.0,0.0,0.0,0.016589774,0.7016806,0.05392714068299398
0.24504927,0.09069392,0.0,0.07372542,0.0,0.34138614,0.044666305,0.0,0.0,0.6699119,0.0,0.7284608,0.7847991,0.0,0.21877858,0.0,0.0,0.0,0.0,0.11239773,0.0,0.63471437,0.012486885,0.6022315,0.0,0.3661981,0.7215522,0.18870214,0.7836764,0.0,0.4134019,0.06381237,0.29135874,0.16214345,0.0,0.0,0.0,1.0297272,0.0,0.0,0.0,0.053595226,0.0,0.10488643,0.34591803,0.1448573,0.0,0.18131214,0.43230268,0.90126884,0.05058821118683099
0.29025128,0.13058147,0.07882877,0.16500543,0.0,0.17282157,0.0,0.0,0.0,0.2590045,0.03204753,0.5044576,0.09794526,0.0027660034,0.10318336,0.0,0.0,0.0,0.0,0.16102898,0.16987176,0.0,0.14734644,0.38387308,0.0,0.11605412,0.14764777,0.04348832,0.2618327,0.0,0.0,0.046510153,0.0,0.0,0.0,0.051913507,0.0,0.28816104,0.0,0.0,0.0,0.011353532,0.0,0.49656713,0.1518415,0.0,0.0,0.030803906,0.30071193,0.34884876,0.059471811445361074
0.20783937,0.14251193,0.0,0.22694148,0.0,0.41339403,0.20248029,0.0,0.0,0.8379672,0.0,0.82971466,0.96958464,0.0,0.23413312,0.0,0.0,0.0,0.0,0.017640932,0.0,0.677906,0.0,0.61697894,0.062740006,0.7005277,0.83227557,0.23538885,0.80602497,0.0,0.23670533,0.013699981,0.23741724,0.013544586,0.0,0.0,0.07984787,1.4938563,0.0,0.0,0.0,0.0,0.0,0.14335461,0.25321406,0.17539239,0.0,0.57997197,0.54844844,1.1416354,0.04890195161303802
0.14951518,0.0,0.28520125,0.19288555,0.25763196,0.25014848,0.042587683,0.0,0.03818364,0.3484143,0.619085,0.4696722,0.022784987,0.19175737,0.12254165,0.0,0.0,0.0,0.0,0.02043095,0.3822593,0.10742607,0.06870776,0.25083232,0.0,0.31970307,0.64217925,0.06164111,0.34071374,0.027355434,0.030047428,0.2966448,0.0,0.14964043,0.0,0.46516272,0.0,0.085015126,0.035744928,0.0,0.0,0.19702965,0.18356813,0.41424426,0.0,0.0,0.0,0.0014667998,0.037689716,0.12106614,0.17806625579404411
0.2700468,0.0,0.0,0.099043556,0.22216693,0.17883658,0.07886468,0.0,0.19981997,0.16332823,0.29881284,0.20277712,0.061338022,0.32924503,0.0,0.0,0.13270237,0.0,0.0,0.0,0.17450036,0.16733451,0.24054623,0.40639216,0.0,0.23525088,0.71898514,0.0,0.42901757,0.0,0.4396858,0.13251714,0.0,0.07663534,0.0,0.020345028,0.0,0.19524194,0.1472829,0.0,0.0,0.1581062,0.05599697,0.22967541,0.0,0.0,0.0,0.0,0.0,0.09799304,0.15490988747588494
0.2948366,0.0,0.0,0.34837595,0.0,0.16168544,0.26448965,0.0,0.0,0.53263736,0.0,0.93616915,0.9904374,0.07901785,0.064548366,0.0,0.0,0.0,0.2980892,0.030890262,0.08962973,0.31551024,0.0,0.21708712,0.0,0.65983415,0.4748773,0.2605253,0.53387845,0.0,0.2940464,0.0,0.38018787,0.0,0.0,0.0,0.0,1.361121,0.0,0.0,0.0,0.20108078,0.19822586,0.03266897,0.40833214,0.57051873,0.0,0.4838157,0.288361,1.2475363,0.05022043090917161
0.08232527,0.0,0.04654364,0.21746859,0.049934037,0.22177316,0.0,0.0,0.20085947,0.33624122,0.2872848,0.16627762,0.070899725,0.11214391,0.12994425,0.0,0.0119888075,0.0,0.0,0.151095,0.32800895,0.07213138,0.08357499,0.18627533,0.0,0.23007947,0.27970853,0.0,0.14267644,0.08708784,0.15523423,0.41336063,0.0,0.06358554,0.0,0.24633297,0.0,0.07484847,0.0,0.0,0.0,0.06445813,0.008005006,0.12654884,0.0,0.0,0.0,0.0,0.0,0.11652611,0.0910722712178067
0.15934703,0.0,0.0,0.13993879,0.031023562,0.28321218,0.0,0.18827449,0.12870865,0.29608172,0.23341334,0.34342432,0.15668902,0.12613368,0.0,0.0,0.14856285,0.0,0.0,0.16730005,0.0,0.0,0.21126631,0.5731677,0.0,0.46445066,0.45935154,0.0,0.08843886,0.0,0.09352632,0.067079954,0.10146697,0.0617868,0.0,0.25096187,0.0,0.23380773,0.08656595,0.0,0.0,0.008660034,0.21015722,0.41392425,0.0,0.0,0.0,0.0,0.0,0.29353786,0.0829637297619793
0.30110234,0.20167476,0.0,0.14738624,0.0,0.37536794,0.0,0.0,0.0,0.39049393,0.0,0.6105371,0.4275369,0.0,0.26351932,0.0,0.0,0.0,0.0,0.21490906,0.0,0.29550683,0.038613208,1.0669086,0.0,0.9106491,0.33741635,0.17141622,0.56948215,0.0,0.0,0.0,0.27112725,0.0,0.0,0.2160784,0.008867389,1.2105728,0.0,0.0,0.0,0.0,0.32898057,0.45270792,0.09434143,0.0,0.0,0.4415011,0.38238257,0.98722845,0.051880758185808507
0.17768335,0.0,0.0,0.0,0.0,0.22138484,0.0,0.0,0.17644814,0.056910034,0.054158818,0.21460731,0.07266563,0.119518876,0.0,0.0,0.0,0.0,0.0,0.013155649,0.26102158,0.0,0.3044608,0.3459684,0.0,0.3584036,0.2503931,0.0,0.10391628,0.0,0.06698289,0.24409352,0.0,0.030579187,0.0,0.120239265,0.0,0.04930936,0.0,0.0,0.0,0.064228,0.12724525,0.13659409,0.08403502,0.0,0.0,0.0,0.0,0.069285534,0.07202887096108546
0.10421585,0.07917136,0.0,0.32667145,0.0,0.031119365,0.11328637,0.029922172,0.0,0.013345337,0.044365034,0.56212234,0.03898621,0.0,0.25831357,0.0,0.0,0.0,0.036111664,0.26558748,0.17940584,0.0,0.02631269,0.061582178,0.0,0.034606963,0.21230507,0.023695812,0.23141278,0.0,0.0,0.010675933,0.0,0.0,0.0,0.10012204,0.0,0.13181238,0.051670674,0.0,0.0,0.12878527,0.0,0.48307636,0.19825202,0.0,0.0,0.0,0.16197696,0.27138537,0.0586574622280609
0.18837881,0.20142359,0.0,0.1880044,0.0,0.037980862,0.0,0.0,0.0,0.11166175,0.0,0.4412158,0.04406494,0.0,0.0,0.0,0.0,0.0,0.123488426,0.15181226,0.00980738,0.0,0.053083304,0.42296392,0.0,0.29092288,0.26826736,0.028155485,0.43565917,0.0,0.0,0.0,0.08334482,0.0,0.0,0.0,0.0,0.5405204,0.07813552,0.0,0.0,0.12750198,0.06645011,0.3700078,0.104725204,0.019127807,0.0,0.24187596,0.25958547,0.6177152,0.052894752124435285
0.34465247,0.0,0.0,0.4229552,0.0,0.37422815,0.0,0.0,0.0,0.5055301,0.0,0.5471235,0.8108913,0.039395623,0.1588945,0.0,0.0,0.0,0.0,0.35694245,0.0,0.45415688,0.07097067,0.59449804,0.0,0.5262094,0.5450939,0.14948608,0.5554943,0.0,0.47650033,0.035152867,0.24072574,0.3111688,0.0,0.08688218,0.0,1.0102316,0.0,0.0,0.0,0.0,0.059111428,0.0,0.30920732,0.3650783,0.0,0.19987771,0.41551095,0.8859287,0.05266047706833177
0.19379628,0.0,0.0,0.41415757,0.33324695,0.49598902,0.0,0.0,0.4878558,0.32272494,0.47803572,0.33009535,0.37551233,0.2119262,0.0,0.0,0.15193439,0.0,0.07800524,0.3127549,0.29914236,0.0,0.5029966,0.7724861,0.009414698,0.734802,0.5398979,0.0,0.37386137,0.0,0.49123245,0.667291,0.48394382,0.3405624,0.0,0.15921485,0.0,0.35554314,0.0,0.0,0.0,0.14340109,0.15114684,0.35280237,0.0,0.0,0.013763563,0.0,0.0,0.2885493,0.21020164874453506
0.028012704,0.0,0.0,0.16412707,0.099197075,0.2790492,0.0,0.0,0.17891227,0.0,0.23522806,0.12868695,0.09569756,0.16281533,0.0,0.0,0.22320116,0.0,0.0,0.13933687,0.023402175,0.0,0.32909733,0.31438026,0.0,0.20219335,0.2677749,0.0,0.0,0.0,0.13017067,0.25922137,0.039554384,0.12364611,0.0,0.19404109,0.0,0.18884015,0.0,0.0,0.0,0.0,0.14560549,0.0,0.0,2.5937567e-05,0.0,0.0,0.0,0.18110703,0.07496698593213746
0.09098905,0.0,0.0,0.121441185,0.0,0.019209106,0.0,0.0,0.023821538,0.04707973,0.11190947,0.09026741,0.057091847,0.048847735,0.103314236,0.05465249,0.0,0.0,0.0,0.08105308,0.09697635,0.06285322,0.08673069,0.19624949,0.013323225,0.11594726,0.35974544,0.0,0.23084742,0.0,0.15416293,0.15875626,0.0,0.0002627843,0.0,0.122559935,0.0,0.20615262,0.0,0.0,0.0,0.022725156,0.22048809,0.0,0.0,0.0,0.0,0.026358241,0.16368243,0.2936789,0.05045961743956817
0.2202976,0.0,0.0,0.42920405,0.50608,0.51976275,0.051618606,0.14885612,0.571756,0.16579048,0.60338926,0.4508813,0.7021872,0.31076327,0.0,0.0,0.23728357,0.0,0.0,0.27177757,0.13631874,0.33728075,0.50173396,0.68930453,0.0,0.70835525,0.5160229,0.0,0.0,0.0,0.29132345,0.77973545,0.06302751,0.4419325,0.0,0.2288125,0.0,0.42032295,0.0,0.0,0.0,0.15417172,0.6670472,0.0,0.0,0.0,0.0,0.0,0.0,0.42028219,0.05806376696303873
0.27156872,0.0,0.0,0.21629706,0.07900951,0.21925515,0.0,0.0,0.031348478,0.082094654,0.124353245,0.11124686,0.17571759,0.088450275,0.0,0.0,0.044582825,0.0,0.0,0.29260755,0.0,0.010167899,0.20813066,0.32093322,0.08472145,0.20102112,0.29780933,0.07612468,0.23581272,0.0,0.27479532,0.048720114,0.0,0.28223774,0.0,0.033967614,0.0,0.38259947,0.0,0.0,0.0,0.0,0.22196423,0.0,0.12252729,0.0,0.0,0.0,0.012369066,0.24698323,0.06271945879014817
0.026521001,0.014942379,0.0,0.102941655,0.0,0.107375495,0.0,0.00492472,0.22680132,0.07616163,0.016152019,0.22164397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14471614,0.010783838,0.0,0.13393198,0.327603,0.0,0.31445372,0.31230563,0.0,0.25003392,0.0,0.11200382,0.04283511,0.0,0.0,0.0,0.09484607,0.0,0.29317966,0.0,0.0,0.0,0.0,0.08324972,0.0849374,0.0,0.0,0.0,0.0,0.030284865,0.46262684,0.05553664397530178
0.2695195,0.0,0.10500647,0.084230706,0.0,0.21160157,0.0,0.0,0.25556022,0.20316055,0.057357356,0.15911548,0.11428747,0.13096142,0.09516206,0.19063929,0.098780155,0.0,0.0,0.07868624,0.38202867,0.0,0.3143805,0.21012734,0.0,0.26334003,0.24021609,0.0,0.20983921,0.0,0.11181549,0.26718706,0.0,0.0,0.0,0.0,0.0,0.17199107,0.0,0.0,0.0,0.01530649,0.21209632,0.042484052,0.0,0.0,0.015736757,0.0,0.0,0.28853047,0.08912155822824275
0.22977242,0.0,0.0,0.32104057,0.19535802,0.15336616,0.07944794,0.0,0.100800805,0.039096616,0.24771017,0.25276992,0.06563668,0.3960077,0.12633277,0.0,0.14066362,0.0,0.0,0.0,0.15857653,0.1928406,0.24355407,0.3215313,0.0,0.2465019,0.40753025,0.1270054,0.1734655,0.0,0.14024146,0.20793322,0.0,0.035974476,0.0,0.0,0.0,0.24489248,0.0,0.0,0.0,0.108834594,0.27900368,0.043320443,0.0,0.0,0.0,0.0,0.0,0.07554152,0.15318738075040073
